Date,Open,High,Low,Close,Adj Close,Volume
2020-08-01,0.000000,0.000000,0.000000,0.000000,0.000000,120246648
2020-08-02,0.000000,0.000000,0.000000,0.000000,0.000000,14466490
2020-08-03,0.000000,0.000000,0.000000,0.000000,0.000000,9713284
2020-08-04,0.000000,0.000000,0.000000,0.000000,0.000000,1479998
2020-08-05,0.000000,0.000000,0.000000,0.000000,0.000000,2009723
2020-08-06,0.000000,0.000000,0.000000,0.000000,0.000000,652240
2020-08-07,0.000000,0.000000,0.000000,0.000000,0.000000,1315096
2020-08-08,0.000000,0.000000,0.000000,0.000000,0.000000,1033338
2020-08-09,0.000000,0.000000,0.000000,0.000000,0.000000,389364
2020-08-10,0.000000,0.000000,0.000000,0.000000,0.000000,457118
2020-08-11,0.000000,0.000000,0.000000,0.000000,0.000000,216071
2020-08-12,0.000000,0.000000,0.000000,0.000000,0.000000,139701
2020-08-13,0.000000,0.000000,0.000000,0.000000,0.000000,128943
2020-08-14,0.000000,0.000000,0.000000,0.000000,0.000000,267018
2020-08-15,0.000000,0.000000,0.000000,0.000000,0.000000,110709
2020-08-16,0.000000,0.000000,0.000000,0.000000,0.000000,37872
2020-08-17,0.000000,0.000000,0.000000,0.000000,0.000000,40567
2020-08-18,0.000000,0.000000,0.000000,0.000000,0.000000,11444
2020-08-19,0.000000,0.000000,0.000000,0.000000,0.000000,255705
2020-08-20,0.000000,0.000000,0.000000,0.000000,0.000000,154306
2020-08-21,0.000000,0.000000,0.000000,0.000000,0.000000,366685
2020-08-22,0.000000,0.000000,0.000000,0.000000,0.000000,600895
2020-08-23,0.000000,0.000000,0.000000,0.000000,0.000000,57154
2020-08-24,0.000000,0.000000,0.000000,0.000000,0.000000,2368
2020-08-25,0.000000,0.000000,0.000000,0.000000,0.000000,28004
2020-08-26,0.000000,0.000000,0.000000,0.000000,0.000000,44187
2020-08-27,0.000000,0.000000,0.000000,0.000000,0.000000,177326
2020-08-28,0.000000,0.000000,0.000000,0.000000,0.000000,543018
2020-08-29,0.000000,0.000000,0.000000,0.000000,0.000000,306475
2020-08-30,0.000000,0.000000,0.000000,0.000000,0.000000,2969647
2020-08-31,0.000000,0.000000,0.000000,0.000000,0.000000,488561
2020-09-01,0.000000,0.000000,0.000000,0.000000,0.000000,1196713
2020-09-02,0.000000,0.000000,0.000000,0.000000,0.000000,4524726
2020-09-03,0.000000,0.000000,0.000000,0.000000,0.000000,5187069
2020-09-04,0.000000,0.000000,0.000000,0.000000,0.000000,2682530
2020-09-05,0.000000,0.000000,0.000000,0.000000,0.000000,884835
